phonemes,graphemes
lisamfibēə,lissamphibia
kəpfu̇l,cupful
rapərē,rapparee
täsēldär,tahsildar
bəhərä,bahera
mə̇tanē,mitanni
hēvərən,jivaran
metəjenəsəs,metagenesis
kōshā,cocher
pigmənt,pigment
taskmastər,taskmaster
twēd,tweed
kənvikshən,conviction
stīp,stipe
ignərāshən,ignoration
swiŋgəl,swingle
ābīōjenəsəs,abiogenesis
jatēōrīzə,jateorhiza
sägəman,sagaman
pōətrē,poetry
mōldər,molder
sher,share
dȯrnāl,doornail
evrēhwer,everywhere
gläbyələr,interglobular
kid,kyd
kerēȯn,carryon
impekəbəl,impeccable
sərvet,servette
swichəl,switchel
səbrōgāt,subrogate
au̇tlinēər,outlinear
inärtikyələt,inarticulate
metəbälik,metabolic
krəd,crud
simpathikōblast,sympathicoblast
äksīd,oxide
ipərn,epergne
pōlləs,poleless
kātər,cater
prətekt,protect
tektōspändilik,tectospondylic
athrəjenik,athrogenic
pantthər,panther
släg,slog
kyüpyəlifərē,cupuliferae
gəlaktəsēmēə,galactosemia
merəzōīt,merozoite
chētər,cheater
rēstīəl,restyle
gōd,goad
fəndātriks,fundatrix
fə̇läjənəs,philogynous
väⁿdərz,vendeuse
nänkəmplīiŋ,noncomplying
erəfȯiəl,aerofoil
ȯrēəntāt,orientate
āpish,apish
rübēd,rubied
drəmrōl,drumroll
ästēəl,ostial
disazō,disazo
trafik,traffic
fändᵊl,fondle
anəməlivərə,animalivora
lāk,lake
kəntānərship,containership
krəvat,cravat
nəstaljē,nostalgy
ōvərkyu̇r,overcure
devən,devon
testəmōnēəl,testimonial
frälik,frolic
advərb,adverb
əntī,untie
septəsēmēə,septicemia
saŋgrēə,sangria
grēnhed,greenhead
füdstəf,foodstuff
sliŋk,slink
pyu̇rbred,purebred
bōgəs,bogus
əndərəchēvər,underachiever
pərəlīzd,pearlized
falkənet,falconet
hēt,heat
flikər,flicker
dedpan,deadpan
välyətin,volutin
blakhärt,blackheart
nənətak,nunatak
strəgəl,struggle
impakt,impact
bashfəl,bashful
gastrələ,gastrula
pēkē,peaky
mänəkōk,monocoque
bärmē,barmy
vəlgerēən,vulgarian
känəfər,conifer
dēvalyəwāt,devaluate
prōtreptik,protreptic
nüməräləjē,numerology
vesəl,vessel
kənübēəl,connubial
ditekt,detect
fədᵊld,fuddled
klōfībrāt,clofibrate
absəlütīz,absolutize
bümsläŋ,boomslang
asəpan,assapan
krōmō,chromo
prətektər,protector
dilīt,delight
grȯsh,grosz
pəchēzē,pachisi
aspərəfōlēə̇t,asperifoliate
prəfyüzhən,profusion
antisəpāt,anticipate
shevəsənts,chevisance
epēgȯnätyȯn,epigonation
tōdlə̇s,toadless
härlət,harlot
absəntēizəm,absenteeism
misēmz,meseems
rēpər,reeper
änəgrāsēē,onagraceae
ristȯrətiv,restorative
tälərənts,tolerance
nüntīd,noontide
dirhəm,dirham
hīpərperəthīrȯidizəm,hyperparathyroidism
siŋk,sink
bləndərbəs,blunderbuss
märgərōsᵊnīt,margarosanite
atəbal,atabal
spazmik,spasmic
tarəntīn,tarentine
bīōkeməstrē,biochemistry
spərmizəm,spermism
skēmətīz,schematize
pərmēənts,permeance
ravən,ravin
mīäləjē,myology
illisət,illicit
lifyəjə̇d,solifugid
bäs,bos
lakrəmātər,lacrimator
alkəlȯid,alkaloid
tȯrpeks,torpex
dälē,dolly
lu̇kər,looker
lau̇s,louse
abjəŋkshən,abjunction
glīkäləsəs,glycolysis
ethnōhistərē,ethnohistory
ənkīndlē,unkindly
fyümərās,fumarase
intərfrətərnətē,interfraternity
sentrifyəgāt,centrifugate
nimbəl,nimble
kəntest,contest
blä,blah
netwərk,network
trīpə,trypa
thəmər,thumber
käkskōm,coxcomb
tau̇ər,tower
kwȯrtsifərəs,quartziferous
klavəkȯrd,clavichord
inyōīt,inyoite
tempəralətē,temporality
wȯtərlēf,waterleaf
disprüf,disproof
teləpȯrt,teleport
thərər,witherer
känvȯi,convoy
əfektəd,affected
kapəteləm,capitellum
dyütōvəm,deutovum
rēkap,recap
kəlandrə,calandra
nänrātəd,nonrated
bändmād,bondmaid
enhärmänik,enharmonic
impashən,impassion
shiv,shiv
kätᵊnmau̇th,cottonmouth
səmər,summer
aplīt,aplite
nāzōferiŋks,nasopharynx
miləvōlt,millivolt
ənsəlektiv,unselective
endäsmōsəs,endosmosis
bəhenāt,behenate
spel,spell
sfirē,sphery
äpərāshənizəm,operationism
thēətər,theater
rēsilvər,resilver
spraŋgəl,sprangle
trādzmən,tradesman
lēgəlizəm,legalism
rērikȯrd,rerecord
kȯrəfə,corypha
antə̇pōl,antipole
tēnər,teener
dēselərän,deceleron
nēpan,kneepan
gələbəl,gullible
glēt,gleet
alfänzō,alphonso
bəniŋ,bunning
ekstrəliŋgwistik,extralinguistic
vītüpərətȯrē,vituperatory
hätbäks,hotbox
inkwest,inquest
gastränəmē,gastronomy
mekənidēəm,meconidium
fäp,fop
käntrāt,contrate
särkəsēn,sarcosine
aməsētēz,ammocoetes
strämbōlēən,strombolian
brōgərē,broguery
semēdīərnᵊl,semidiurnal
yükəliptȯl,eucalyptol
yüzəkāpēənt,usucapient
shōgərəl,showgirl
nīntē,ninety
həlȯisīt,halloysite
diskrāzhēə,dyscrasia
käntsəntrāt,concentrate
pitresᵊn,pitressin
pərchərän,percheron
eŋlə̇n,englyn
nänkəndishənd,nonconditioned
mäkəp,mockup
drīənə̇d,dryinid
alyələ,alula
ənimyənīzd,unimmunized
kəlisəfȯrm,caliciform
delətirēəs,deleterious
trämbədīəsə̇s,trombidiasis
äləjə̇st,ologist
birēvmənt,bereavement
ram,ram
manyətərj,manuterge
haŋər,hanger
īsäkrənᵊl,isochronal
nänȯrthədäks,nonorthodox
erəstīdēz,aristides
pägē,poggy
kwinaldinēəm,quinaldinium
menərājēə,menorrhagia
skätswu̇mən,scotswoman
əperətēf,aperitif
intwīn,entwine
ektäpik,ectopic
pärthēnēəm,parthenium
man,man
vinigret,vinaigrette
kadmik,cadmic
grād,grade
ebənīt,ebonite
gətsē,gutsy
kīməgram,kymogram
märtər,martyr
grēgrē,grisgris
zōnətȯidēz,zonitoides
shifərōb,chifforobe
bau̇ndən,bounden
nəkələr,knuckler
rōzaarēəm,rosarium
spir,speer
netᵊlē,nettly
galəvant,gallivant
geld,geld
līfgärd,lifeguard
pronunciationsatphenyl,trinitrophenylmethylnitramine
grətīələ,gratiola
frāzməŋgər,phrasemonger
frendship,friendship
sōtō,sotho
rəmbəl,rumble
intraktəbəl,intractable
inskrīb,inscribe
savənrē,savonnerie
skə̇zäpədə,schizopoda
fȯrmər,former
kakäfənəs,cacophonous
indānjər,endanger
stāpəl,staple
mezensefəlän,mesencephalon
bərklēəm,berkelium
inkȯrpərāshən,incorporation
hamədan,hamadan
hep,hep
miləpēd,millipede
iŋkyəbāt,incubate
gək,guck
triŋkəl,trinkle
kəlabərāt,collaborate
spīkə,spica
rübənz,rubens
dəmpē,dumpy
hedlīt,headlight
vintij,vintage
ōvəfȯrm,oviform
fȯrmamədēn,formamidine
pōzər,poseur
alpənhȯrn,alpenhorn
serəbelōrübrəl,cerebellorubral
slīdij,slidage
prōsōmə,prosoma
kästümēā,costumier
plach,platch
sə̇kəl,toxical
badland,badland
thalȯid,thalloid
finənsir,financier
mänəgram,monogram
sau̇thwestərnər,southwesterner
rəbē,rabi
vərtēbrəl,paravertebral
kȯkāzhən,caucasian
krȯsbrēd,crossbreed
vərmikyələt,vermiculate
süpərseshən,supersession
särkäfəgəs,sarcophagus
fərkyələ,furcula
finish,finnish
jənts,urgence
apərsēv,apperceive
käntrəpəntᵊl,contrapuntal
nēōkȯrteks,neocortex
disfȯrik,dysphoric
färäōn,faraon
kyüpresənäksəlän,cupressinoxylon
merəthän,marathon
sərmet,cermet
tänsȯrēəl,tonsorial
indistrəktəbəl,indestructible
indəpendənt,independent
fərgiv,forgive
siskən,siskin
dīvərtikyələm,diverticulum
zēbras,zebrass
simplast,symplast
rōē,roey
thrätᵊləbəl,throttleable
impreg,impreg
krōmōbaktirēəm,chromobacterium
gōldēläks,goldilocks
dissərv,disserve
dissēz,disseise
sə̇neŋkə̇mə,coenenchyma
krau̇dər,crowder
marəpōsə,mariposa
məzȯrkēəm,mesorchium
signᵊl,signal
səlfīt,sulfite
snach,snatch
tantəlīz,tantalize
disist,desist
ekstrəsōmatik,extrasomatic
katəkizəm,catechism
sandərak,sandarac
nändifents,nondefense
sprāttsätürä,sprezzatura
drōl,droll
entərōgastrōn,enterogastrone
fərbish,furbish
aftərgärd,afterguard
bendā,benday
fu̇tläkər,footlocker
südərifərəs,sudoriferous
sīəlȯid,sialoid
dīīədīd,diiodide
pərōl,parole
chestnət,chestnut
pankrāshēəm,pancratium
ȯrnərē,ornery
ȯkwərd,awkward
silkrēt,silcrete
rivīəl,revile
anərkizəm,anarchism
bizmətīt,bismutite
mäpbȯrd,mopboard
mistikəl,mystical
prōpəlheksədrēn,propylhexedrine
privāl,prevail
ded,dead
inikspəgnəbəl,inexpugnable
taksmən,tacksman
estäpəl,estoppel
ənärtistik,unartistic
pepləm,peplum
mau̇thbrēdər,mouthbreeder
dīignästik,diagnostic
kavəlyerē,cavaliere
sküp,scoop
kəlāt,collate
əltrəizəm,ultraism
wejwu̇d,wedgwood
kwädrēgə,quadriga
gärnichər,garniture
hedwərd,headword
dilən,dylan
färməkōsīkōsəs,pharmacopsychosis
senətər,senator
helətizəm,helotism
champəkȯl,champacol
pēmə,pima
tärtᵊn,tartan
drau̇z,drowse
lachstriŋ,latchstring
u̇rər,spoorer
skrübȯl,screwball
pəchōtē,pochote
vəlgerrətē,vulgarity
jərməsīd,germicide
inrōl,enroll
āblənz,aiblins
skwȯl,squall
kānənitik,canaanitic
fənjəstatalsofəŋgə,fungistat
äbjə̇ktīvəl,objectival
prōtän,proton
nashnəlistik,nationalistic
blᵫm,blume
nänrinüəl,nonrenewal
ȯtəmatik,automatic
sēferər,seafarer
mərs,merse
klōrə̇n,chlorin
əbämənāt,abominate
frəntəspēs,frontispiece
eməsaarēəm,emissarium
hirtü,hereto
tel,tell
pēdōjenəsəs,paedogenesis
ärkēizəm,archaism
aftərwərd,afterward
grävᵊl,grovel
sekstüpəl,sextuple
heləkrīs,helichryse
ablātər,ablator
lōzəl,losel
sərtə̇s,syrtis
mīkrōilekträniks,microelectronics
əpbild,upbuild
saŋgwənəs,sanguinous
fat,fat
ərthshākiŋ,earthshaking
sə̇mīän,semeion
nāməbəl,nameable
dekəmetrik,decametric
pälənōmēəl,polynomial
kōrēambik,choriambic
bilātəd,belated
spikyül,spicule
gasəhȯl,gasohol
intərnᵊl,internal
stafəlōmə,staphyloma
talēmən,tallyman
dīäfəsīt,dyophysite
sərēəlistik,surrealistic
wȯrdᵊnship,wardenship
telēäləjē,teleology
fə̇las,filasse
hāgālēənizəm,hegelianism
kēnə̇s,peskiness
fēmər,femur
īrāt,irate
ərīz,arise
sterēōfətägrəfē,stereophotography
ventrikyəlīt,ventriculite
gathriŋ,gathering
vir,veer
kälə̇nzīt,collinsite
sləmbər,slumber
ärgyəfī,argufy
prōfīəl,profile
skwälər,squalor
nāəs,naias
ikthēəmȯrfə,ichthyomorpha
kafəl,caffle
perəlīz,paralyze
spä,spa
rīmlə̇s,rimeless
ikər,icker
ōsāj,osage
swaŋ,swang
miskau̇nt,miscount
karēäskəsə̇s,karyoschisis
sekspät,sexpot
mīsēlēəm,mycelium
kripəskyül,crepuscule
brȯdᵊn,broaden
prīmiŋ,priming
ingȯrj,engorge
pōkwēd,pokeweed
grenədir,grenadier
lībrəfȯrm,libriform
ēlyəräpədəs,aeluropodous
shlēnə̇s,fleshliness
əlēləmȯrf,allelomorph
plənigrəfē,planigraphy
strōlər,stroller
dibȯchē,debauchee
änərəs,onerous
pāganətē,paganity
grənt,grunt
lōkəmōshən,locomotion
ōvərpas,overpass
astrōbīäləjē,astrobiology
intərləkəstrən,interlacustrine
akwətōn,aquatone
jēəfiziks,geophysics
bläsəm,blossom
fishwā,fishway
hwēzəlalsowē,wheezle
täpəläjikəl,topological
kōmachələ,comatula
hēməstat,hemostat
skäriŋ,scarring
pētsə,pizza
nərvyər,nervure
infənthu̇d,infanthood
düəth,doeth
byütēō,buteo
kantsər,cancer
bōkächēō,boccaccio
byütəmāsēē,butomaceae
dekəhēdrəl,decahedral
lēmədipədə,laemodipoda
səbsänik,subsonic
pēkē,piki
pīlēəm,pileum
glīsēn,glycine
fəmbəl,fumble
päpgən,popgun
rizȯrtər,resorter
arəpäŋgə,araponga
səmdā,someday
hīpərōp,hyperope
ekēyərȯidēə,echiuroidea
getōīz,ghettoize
kōerəs,coheiress
iradəkāt,eradicate
brakiptərəs,brachypterous
mimikrē,mimicry
grajəwāshən,graduation
enēwāz,anyways
blemēēz,blemmyes
inevətəbəl,inevitable
zepələn,zeppelin
kəlōnə,kelowna
sənbelt,sunbelt
snip,snip
fərē,firry
süpəraktivətē,superactivity
dēsalənīz,desalinize
rētakəl,retackle
frütlət,fruitlet
glamər,glamour
arəswāz,arrisways
ilektrik,electric
təft,tuft
redələnts,redolence
kärsᵊnōlitik,carcinolytic
ritīərd,retired
tärōgətō,tarogato
inlā,inlay
shälōⁿ,châlons
sasəbē,sassaby
əndərkrȯft,undercroft
pyütətiv,putative
benəfishēerē,beneficiary
ȯrthəfäsfāt,orthophosphate
ärkēgastər,archigaster
dekətiŋ,decating
ärkətekchər,architecture
irōd,erode
fiz,fizz
kȯrbō,corbeau
wīəldliŋ,wildling
spəradik,sporadic
kerəgēnən,carrageenan
amfiktēənē,amphictyony
gərdᵊn,guerdon
divau̇ər,devour
mətalōenzīm,metalloenzyme
däntā,dante
tambərə̇n,tambourin
terətōmə,teratoma
ambēənts,ambience
kȯfēpät,coffeepot
ätᵊn,aten
pärtəbəl,partible
sestēn,sestine
kavətēd,cavitied
kələrfəl,colorful
falkyələr,falcular
bīt,byte
gwelf,guelf
intrəspisifik,intraspecific
tītᵊld,titled
aləmentətiv,alimentative
kənskrīb,conscribe
abdəkt,abduct
frēkərē,freakery
stə̇kirän,sticheron
grə̇läd,grillade
kȯrəjendəm,corrigendum
bəlüchəthirēəm,baluchitherium
kidō,kiddo
ditrītəs,detritus
simptəm,symptom
parəpraksēə,parapraxia
härtsȯr,heartsore
hispānēə,hispania
trīmethəlēn,trimethylene
grōnər,groaner
tēthlə̇s,teethless
wȯk,wauk
ülü,ulu
rōtətil,rototill
magnän,magnon
dəlsēanə,dulciana
tärmigən,ptarmigan
brāslətəd,braceleted
kärgə,carga
trīsōm,trisome
lüsərnaarēə,lucernaria
pəvän,pavane
stəfər,stuffer
kəntribyüt,contribute
äbtenəbrāt,obtenebrate
madbrānd,madbrained
ikwivlənts,equivalence
məlibdāt,molybdate
sitēskāp,cityscape
makradᵊnəs,macradenous
trigər,triggered
sparə̇d,sparid
kwantēz,cointise
swetē,sweaty
kəjəl,cudgel
rīzəpōgän,rhizopogon
vərbəl,verbal
püdret,poudrette
iksesərē,accessory
metestrəs,metestrus
reŋgā,rengue
pīperənal,piperonal
kāk,cake
helədōthirēəm,helladotherium
nänmanyəfakchəriŋ,nonmanufacturing
dēau̇läs,diaulos
sənaptəsōm,synaptosome
bəŋkərd,bunkered
apərchu̇rəl,apertural
wīləkē,wailaki
ōəfərektəmē,oophorectomy
dazəliŋ,dazzling
səbdəvizhən,subdivision
ästēōmətȯid,osteomatoid
betər,better
mēlwərm,mealworm
kadəs,caddis
träkəfȯr,trochophore
məntthlē,monthly
gātlə̇s,gateless
midkȯrs,midcourse
entərōlith,enterolith
asᵊndetik,asyndetic
kȯrəskāt,coruscate
əskyü,askew
bredbaskət,breadbasket
flir,fleer
megəpärsek,megaparsec
rütēnīz,routinize
kōəfishənt,coefficient
vāgrəntsē,vagrancy
krisməs,christmas
pərswād,persuade
pärlēvü,parleyvoo
au̇f,ouf
impətrāt,impetrate
yükän,yukon
sōnəbəl,sonable
dīər,dire
trät,trot
gləg,glug
tempā,tempeh
əbyütə,abuta
dau̇ntrend,downtrend
raməfī,ramify
hēdfəl,heedful
risītᵊl,recital
semənifik,seminific
bam,bam
eks,ex
esemplastik,esemplastic
shākdau̇n,shakedown
ekwətəbəl,equitable
amfəgōrē,amphigory
anədəplōsəs,anadiplosis
bōdᵊn,boden
prīərət,priorate
ȯrkədektəmē,orchidectomy
dedlē,deadly
inthüz,enthuse
dōlərōsō,doloroso
imōbəlizəm,immobilism
lȯdətiv,laudative
ōvərrēakt,overreact
nänspisifik,nonspecific
kōagyələnt,coagulant
epətaf,epitaph
frȯstbīt,frostbite
pēnīəl,penile
südästəmə,pseudostoma
imyənōtherəpē,immunotherapy
mərē,marie
ōranz,orans
ēdīəl,aedile
hīpərhīdrōsəs,hyperhidrosis
pälēnēmə̇d,polynemid
gravəmetrik,gravimetric
depyətīz,deputize
əsōsēāshən,association
īsämətrē,isometry
aktənəl,actinal
intrēt,entreat
fȯrmēəm,phormium
iktərȯid,icteroid
erēōl,areole
mənt,ment
bwäzərē,boiserie
präksəmət,proximate
ligyələ,ligula
nänkänfədentshəl,nonconfidential
tōlhau̇s,tollhouse
hau̇zər,houser
gimbəl,gimbal
fītōbēzōər,phytobezoar
sīənōfishən,cyanophycean
inlāk,inlaik
hīdau̇t,hideout
präpəgandīz,propagandize
rithəmlə̇s,rhythmless
glōrēōsə,gloriosa
intərfir,interfere
kīak,kayak
snākē,snaky
aksəpōdēəm,axopodium
stagnāt,stagnate
filmīz,filmize
prēvēn,prevene
wēv,weave
bistrīd,bestride
kechəwə,quechua
bäntäk,bontok
klau̇dij,cloudage
ridres,redress
byünədäntə,bunodonta
änəbäthmȯs,anabathmos
līən,lyon
berəlȯid,berylloid
pətisərē,patisserie
skrāḵ,scraich
kəmər,comer
dȯit,duit
hēlēäpsə̇s,heliopsis
fānz,fains
flīōvər,flyover
avgas,avgas
kənsēt,conceit
katəklazəm,cataclasm
kōlanthrēn,cholanthrene
sinəgäg,synagogue
nāvē,navy
spirichəwəlīz,spiritualize
bäskē,bosky
dekəpäd,decapod
virəlā,virelay
dēserəbrət,decerebrate
kandə̇s,candys
həmdiŋər,humdinger
skwēl,squeal
valwä,valois
fyu̇rənōs,furanose
bōlthōl,bolthole
del,dell
kwäntətiv,quantitive
kōanəsīt,choanocyte
lithēāt,lithiate
bīämətrē,biometry
vizəbilətē,visibility
kəsk,cusk
nemətäspərə,nematospora
diŋ,ding
sœ̅vīt,sövite
səramist,ceramist
əkərst,accursed
aləməntāshən,alimentation
sānt,saint
zīlebərəs,xyleborus
tōtᵊl,total
eskyəlāpēən,aesculapian
pīkrəst,piecrust
jīgantästrə̇kə,gigantostraca
pīə̇t,piet
pətenchēalətē,totipotentiality
bäskət,bosket
thēərist,theorist
sidərəgrafik,siderographic
speshələzāshən,specialization
spənjəs,spongeous
galəmȯfrē,gallimaufry
lətərjēäləjist,liturgiologist
rəkōvēən,racovian
glimriŋ,glimmering
dillydallyər,dillydallier
dispīt,despite
fərnish,furnish
pōstəlē,postally
pərsepshən,perception
wu̇lf,wolf
bīräniks,byronics
sentjənər,centgener
kasᵊn,casson
ənaləgəs,analogous
fərsəfȯrm,furciform
sə̇lindrōspōrēəm,cylindrosporium
kärtün,cartoon
ə̇mənd,immund
trībyünᵊl,tribunal
glēk,gleek
jentᵊlpərsᵊn,gentleperson
dau̇nliŋk,downlink
inimikəl,inimical
drau̇nd,drownd
kilik,killick
bəmpətē,bumpety
əlān,alane
berəthēə,barathea
nüməkäkəs,pneumococcus
näsəkōmēəl,nosocomial
ləkōnēə,laconia
nätsē,nazi
kädliŋ,codling
bränzīt,bronzite
rütij,rootage
ənȯid,annoyed
espənēyō,espinillo
ləmärkizəm,lamarckism
shälshtīn,schalstein
flākər,flaker
sügē,sugi
blügil,bluegill
stäurȯpēyȯn,stauropegion
gəlēyə,golilla
rērap,rewrap
īsatəjə̇n,isatogen
säləped,soliped
rə̇zümər,resumer
besəmərīz,bessemerize
əfāzhēə,aphasia
epifinämənᵊl,epiphenomenal
läbyəlōs,lobulose
bräkətel,brocatelle
kīyüdᵊl,kyoodle
sithərə,cithara
aksīl,axile
brīb,bribe
pəzes,possess
piknäkəmə,pycnocoma
intrap,entrap
katəlās,catalase
sikətrəzāshən,cicatrization
gu̇lē,gully
sentrist,centrist
hīfēnē,hyphaene
äkwəplān,aquaplane
slȯtər,slaughter
gliptəlith,glyptolith
katərpilər,caterpillar
vaksinəfȯrm,vacciniform
härmēn,harmine
kȯin,coign
kəmemərāt,commemorate
kanvəs,canvas
kraknᵊl,cracknel
fȯrfōld,fourfold
thithərwərd,thitherward
snifish,sniffish
sēlēn,sealine
sərak,serac
ənklasəfīd,unclassified
rēəshu̇rənts,reassurance
rēōpən,reopen
ävə̇dsənīt,arfvedsonite
skrāpē,scrapie
kärbälik,carbolic
kärgədȯər,cargador
stədimətər,stadimeter
hərēd,hurried
həmātəm,hamatum
spajər,spadger
südōəlēəl,pseudoallele
akrətirēän,acroterion
dīətōtherəpē,dietotherapy
rīzäfərāsēē,rhizophoraceae
setbak,setback
fȯrtəfīd,fortified
vəlkənəläjə̇kəl,vulcanological
split,split
bilət,billet
femərōpäplətēəl,femoropopliteal
stīlōfərinjēəs,stylopharyngeus
brēfkās,briefcase
prȯŋē,prongy
īsithīənāt,isethionate
simətrīz,symmetrize
irätik,erotic
rōdantthē,rhodanthe
məshē,mushy
dāl,dail
bəŋkərij,bunkerage
snākwēd,snakeweed
süpərstrȯŋ,superstrong
trakwȯkər,trackwalker
au̇tgān,outgain
kakə̇stäkrəsē,kakistocracy
hȯrəbəl,horrible
lītərmən,lighterman
bifitiŋ,befitting
wu̇dkət,woodcut
ōvərintəlekchəwəlīz,overintellectualize
ə̇nklīnətōrē,inclinatory
wädməl,wadmal
amfibēəs,amphibious
kik,kick
pəgē,puggy
nürägā,nuraghe
palətəplastē,palatoplasty
trōfəlaksəs,trophallaxis
ōvərdipendənt,overdependent
sinərjizəm,synergism
əthentikāshən,authentication
falənjerədē,phalangeridae
piskərē,piscary
lākē,lakie
dīəläjik,dialogic
siləndər,cylinder
shamə,chamma
kər,cur
ənhisterikəl,unhysterical
aktivist,activist
shəlt,shalt
abstrakt,abstract
riseptiv,receptive
ripīn,repine
kastrəmə̇tāshən,castrametation
damd,damned
altəlik,altilik
kətabəlīz,catabolize
frītᵊniŋ,frightening
difīn,define
kīənīz,kyanize
gəlyāgən,gallegan
fabyələ,fabula
sāräŋ,serang
kräch,crotch
vīzər,visor
tərentᵊlə,tarentola
skiŋkȯid,scincoid
snȯ,snaw
slashiŋ,slashing
nänəbjektiv,nonobjective
kətpərs,cutpurse
sȯrhed,sorehead
dēgȯrj,degorge
klərk,clerk
klerəfīiŋ,clarifying
ənänəmə,anonyma
ōvərstäk,overstock
hōlōkü,holoku
stik,stich
lakər,lacquer
mīkrōsərkyəlāshən,microcirculation
kəmpōzər,composer
jest,gest
sinəmətek,cinematheque
ämpfəlītəs,omphalitis
tȯrchwəs,tortuous
hwitᵊl,whittle
stəmp,stump
albərtist,albertist
sistəskōp,cystoscope
kriptəlīt,cryptolite
rīnäsrəs,rhinoceros
dāl,dale
dȯrsōlatərəl,dorsolateral
skyütᵊlerədē,scutelleridae
skrau̇j,scrouge
irithrəsītōsəs,erythrocytosis
eskärgō,escargot
au̇trēch,outreach
privlij,privilege
sandᵊlwu̇d,sandalwood
kämbȯi,comboy
ākȯdᵊl,acaudal
rəfsəm,roughsome
fīmikələs,fimicolous
rādēōsänd,radiosonde
rig,rig
rīnstōn,rhinestone
fȯrberənts,forbearance
kēnəmēlēz,chaenomeles
lepərdēn,leopardine
kəswərd,cussword
blau̇zē,blowsy
smōkəbəl,smokable
ləbelāt,labellate
excerptəbəl,excerptible
pōsäləjē,posology
venəm,venom
pyübəs,pubis
valkərē,valkyrie
shikān,chicane
sōstər,sewster
pätəkəri,potecary
dekstər,dexter
limətātiv,limitative
mōltər,moulter
kyüpyül,cupule
trikē,tricky
snik,snick
rimärk,remarque
resətətēv,recitative
kəmandər,commander
abrəgāt,abrogate
səherə,sahara
skwer,square
sidāt,sedate
ripədōgläsə,rhipidoglossa
sə̇sīədē,sesiidae
fēnikyələm,foeniculum
əniksepshənəbəl,unexceptionable
ligəchu̇r,ligature
glendāl,glendale
espəvā,espavé
kärdēōmegəlē,cardiomegaly
stərdē,sturdy
päks,pox
kyüprȯid,cuproid
əndütifəl,undutiful
təbakō,tobacco
ləkē,lucky
ənrəsht,unrushed
kēmōtherəpyütik,chemotherapeutic
hīpərtents,hypertense
səblīn,subline
fäsik,fossick
dīnər,diner
spindlē,spindly
nikər,nicker
disfərnish,disfurnish
äŋklüŋ,angklung
kōyempshē,koyemshi
īkänəmetrik,iconometric
dīäptrik,dioptric
hilmən,hillman
rōdᵊnt,rodent
kənvälvyələs,convolvulus
nītrə̇tȯid,nitritoid
härdwikēə,hardwickia
səbprintsəpəl,subprincipal
bügarə,bugara
kälət,collet
ənatəsizəm,anatocism
läḵi,lochy
mȯl,maul
tōstmistrəs,toastmistress
maləkästrəkə,malacostraca
snapbak,snapback
näməstā,namaste
aktōz,actos
təbägən,toboggan
alsīənēz,alcyones
känvəlüt,convolute
rithəmist,rhythmist
thrəst,thrust
səlidəfīəbəl,solidifiable
makrandrəs,macrandrous
sepərāshən,separation
igzamən,examine
istablishmənterēən,establishmentarian
eskəlāt,escalate
kȯlīn,cauline
laktəkarēəm,lactucarium
agrənōm,agronome
kabəlistik,cabalistic
ratēōsənāshən,ratiocination
bātiŋ,bating
bedsted,bedstead
ēpərīt,yperite
mänəmānēə,monomania
gām,game
wȯrniŋ,warning
kənādəl,knaidel
barəskōp,baroscope
mādhu̇d,maidhood
eməräd,emerod
thrämbōpēnēə,thrombopenia
sīənts,science
wāvəlīt,wavellite
sidəräksəlän,sideroxylon
sash,sash
gītrash,guytrash
käntəmplāshən,contemplation
rāmənt,raiment
jest,jest
mint,mint
dentəstrē,dentistry
əriktäləjē,oryctology
hwetstōn,whetstone
bīōmas,biomass
bigəməs,bigamous
parəblast,parablast
stətər,stutter
myüsᵊn,mucin
ilektrəstatik,electrostatic
fedərātəs,foederatus
fribəl,fribble
trampəlēn,trampoline
vēvərz,vivres
ōvərspekyəlāt,overspeculate
pəntō,punto
krōməfil,chromaphil
rə̇gālyən,regalian
ənkənvintsiŋ,unconvincing
aktən,actin
jerəntäkrəsē,gerontocracy
bōdlərīzd,bowdlerized
fakəndətē,facundity
pəzesərē,possessory
əltrərilijəs,ultrareligious
inkərzhən,incursion
kəlātəd,collated
prēkäntakt,precontact
rīksmärk,reichsmark
aljirēə,algeria
mȯltās,maltase
ōvərrāt,overrate
gīəl,gyle
stäkmən,stockman
hezətəntsē,hesitancy
märkətiŋ,marketing
tärsēə,tarsia
skwäbəl,squabble
fēäkrᵊ,fiacre
bōzeləfəs,boselaphus
nōzhwēl,nosewheel
vikərij,vicarage
kwänzə,kwanza
pakēsəfālēə,pachycephalia
werhau̇smən,warehouseman
midwintər,midwinter
sīmərōs,cymarose
gridīərn,gridiron
igzänərāt,exonerate
kridentshəl,credential
hedlamp,headlamp
kärtēzhən,cartesian
tädik,toddick
dīyərēsəs,diuresis
ənbləshiŋ,unblushing
windstȯrm,windstorm
metəpäfəsə̇s,metapophysis
fōrədendrən,phoradendron
kȯrnstärch,cornstarch
rōdȯrə,rhodora
mīrən,myron
äksimȯrän,oxymoron
kəntinyü,continue
karələs,carolus
mir,mir
antēäk,antioch
krəstāshēäləjē,crustaceology
smatər,smatter
misgəvərn,misgovern
sīäptik,scioptic
ärgəsē,argosy
banək,bannock
intərlīn,interline
pask,pasch
präsperətē,prosperity
ribelyən,rebellion
mänänt,monont
pu̇lmənerē,pulmonary
tāstfəl,tasteful
